2026-04-07 18:34:18,338 | INFO | ✓ Валидация пройдена
2026-04-07 18:34:18,339 | INFO | ✓ Демо-режим: данные сгенерированы
2026-04-07 18:34:18,339 | INFO | Парсинг данных Ozon
2026-04-07 18:34:18,339 | INFO | Расчёт метрик Ozon
2026-04-07 18:34:18,339 | INFO | [User:33] Результат: выручка=30000 руб., прибыль=24500 руб.
2026-04-07 18:34:18,339 | INFO | [User:33] Анализ завершён
2026-04-08 11:47:00,085 | INFO | [User:33] Найдено отчетов: 3
2026-04-08 11:47:02,892 | INFO | [User:33] Найдено артикулов: 43
2026-04-08 11:47:07,510 | INFO | [User:33] Найдено отчетов: 3
2026-04-08 11:51:48,248 | INFO | [User:33] Создан новый отчет 23.03.2026 – 29.03.2026 с ID: 68
2026-04-08 11:51:57,058 | INFO | [User:33] Найдено артикулов: 43
2026-04-08 11:52:51,315 | INFO | [User:33] Найдено отчетов: 4
2026-04-13 21:47:13,366 | INFO | [User:33] Найдено отчетов: 4
